exp,seed,sigma0,depth,width,t,t_frac,relmse,train_sec,beta,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,score_chunk
exp_sigma,1.0,1.0,4.0,512.0,0.9,0.9,0.0014046855217820944,41.987964391708374,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.1,0.1,0.004610928395657076,41.602351903915405,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.3,0.3,0.0050238691349342585,41.752692222595215,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.5,0.5,0.0035130250439155816,42.186352014541626,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.7,0.7,0.0014506301621861732,42.3042631149292,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.9,0.9,0.0011623001686653796,43.50484347343445,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.1,4.0,512.0,0.1,0.1,0.009533743053713429,42.24740552902222,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.1,4.0,512.0,0.3,0.3,0.004564697158259852,42.11783981323242,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.1,4.0,512.0,0.5,0.5,0.00291434629935849,42.11336803436279,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.1,4.0,512.0,0.7,0.7,0.001657967534679887,45.00513982772827,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.1,4.0,512.0,0.9,0.9,0.0014701766787978854,41.823822259902954,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,1.0,4.0,512.0,0.1,0.1,0.004068482962250451,41.89443588256836,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,1.0,4.0,512.0,0.3,0.3,0.005716633028669109,42.43984937667847,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,1.0,4.0,512.0,0.5,0.5,0.003402355531139836,42.07983589172363,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,1.0,4.0,512.0,0.7,0.7,0.001213489955713894,42.46998047828674,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,1.0,4.0,512.0,0.9,0.9,0.0021872001508952995,41.79037070274353,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.01,4.0,512.0,0.1,0.1,0.006040076466215058,41.683509826660156,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.01,4.0,512.0,0.3,0.3,0.004388209287109061,41.88613295555115,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.01,4.0,512.0,0.5,0.5,0.003226321118027869,41.839128255844116,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.01,4.0,512.0,0.7,0.7,0.0013787103042027476,42.09012198448181,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.01,4.0,512.0,0.9,0.9,0.0015567615751996451,42.262561321258545,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.1,4.0,512.0,0.1,0.1,0.006155392273887988,42.09462928771973,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.1,4.0,512.0,0.3,0.3,0.0053948778980482505,41.74529838562012,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.1,4.0,512.0,0.5,0.5,0.00350123723110087,41.62616157531738,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.1,4.0,512.0,0.7,0.7,0.0024938225754723375,42.64328074455261,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,0.1,4.0,512.0,0.9,0.9,0.0016970784242986473,42.38770270347595,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,1.0,4.0,512.0,0.1,0.1,0.0038222262972956856,42.01748251914978,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,1.0,4.0,512.0,0.3,0.3,0.004840351617966693,41.49972367286682,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,1.0,4.0,512.0,0.5,0.5,0.0031219010608926324,41.56728768348694,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,1.0,4.0,512.0,0.7,0.7,0.001903719778490617,42.14216232299805,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,3.0,1.0,4.0,512.0,0.9,0.9,0.001711407657434384,42.455641984939575,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.01,4.0,512.0,0.1,0.1,0.006989831855336641,41.783029556274414,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.01,4.0,512.0,0.3,0.3,0.004971322672943202,41.773831367492676,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.01,4.0,512.0,0.5,0.5,0.00318969402862694,41.780057191848755,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
