width,0.1,0.3,0.5,0.7,0.9
128,3.40e-02 ± 1.89e-03,3.98e-02 ± 1.81e-03,8.62e-03 ± 5.71e-04,5.47e-03 ± 7.15e-04,5.27e-03 ± 5.45e-04
256,9.60e-03 ± 1.04e-03,1.90e-02 ± 2.67e-03,4.96e-03 ± 4.93e-04,2.99e-03 ± 8.62e-04,3.48e-03 ± 1.17e-03
512,6.71e-03 ± 2.85e-03,4.93e-03 ± 4.43e-04,3.11e-03 ± 3.67e-04,1.49e-03 ± 4.39e-04,1.83e-03 ± 7.15e-04
1024,3.04e-03 ± 2.70e-04,3.15e-03 ± 5.66e-04,2.24e-03 ± 2.88e-04,1.15e-03 ± 3.37e-04,1.42e-03 ± 4.90e-04
2048,2.55e-03 ± 2.84e-04,2.28e-03 ± 2.99e-04,1.48e-03 ± 2.06e-04,1.27e-03 ± 3.85e-04,1.26e-03 ± 2.23e-04
