exp,grid,n,seed,sigma0,relmse_map,nll0,worst_seg_relmse,train_sec,beta,sigma_inf,mu_box,d,K,T,steps_total,steps_per_seg,batch_size,lr,teacher_steps_train_total,teacher_steps_eval_total,score_chunk,grid_numerical_points,D0,mu_seed,eval_seed
exp_stability_grid_vs_uniform,stability,8,1,1.0,0.044611776993603275,104.3237421875,0.017830651253461838,2918.5096757411957,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,1,1.0,0.08595864228041765,110.35505671875,0.0047655850648880005,2458.6310210227966,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,2,1.0,0.04318521050004653,104.1635175,0.01709374226629734,3519.591930627823,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,2,1.0,0.08981001161553916,111.0494290625,0.005392012652009726,3092.87597322464,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,3,1.0,0.04268386069720814,104.24125921875,0.01662771962583065,3643.846447467804,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,3,1.0,0.08695132535004892,109.15688546875,0.005978723522275686,3087.217751979828,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,4,1.0,0.04221359868353469,104.445133125,0.016605380922555923,3650.777383327484,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,4,1.0,0.08959335101716737,109.06726921875,0.004802188370376825,3095.4758241176605,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,5,1.0,0.04247482538776398,103.69621203125,0.016648823395371437,3651.3489723205566,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,5,1.0,0.09699138954677436,108.80302078125,0.005127567332237959,3094.1049909591675,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,6,1.0,0.041691807271568355,103.369788125,0.017474448308348656,3651.7041466236115,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,6,1.0,0.07557914472708,109.14316078125,0.004174696747213602,3092.8662400245667,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,7,1.0,0.04448988487926281,104.15580640625,0.016917530447244644,3650.7972474098206,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,7,1.0,0.09007546218154461,109.10037765625,0.00503228884190321,3092.8418736457825,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,8,1.0,0.043907032505143016,104.19523734375,0.015332555398344994,3652.002929210663,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,8,1.0,0.09247533852491352,109.0803565625,0.005069793667644262,3092.230964899063,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,8,9,1.0,0.0406761947927114,103.45282109375,0.014336325228214264,3653.4541358947754,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,uniform,8,9,1.0,0.0895805669233372,107.629286875,0.004392721690237522,3092.5084357261658,5.0,1.0,5.0,64,20,1.0,100000,12500,1024,0.0002,100,100,0,10001,40.99732208251953,0,2645733888
exp_stability_grid_vs_uniform,stability,16,0,1.0,0.13577086587393197,128.4054653125,0.024052372202277184,2453.4567341804504,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,0,1.0,0.16591268780015087,147.858289375,0.0037495321594178677,1692.4999356269836,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,1,1.0,0.12924618237385535,127.0567934375,0.022621408104896545,2457.2239742279053,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,1,1.0,0.1639359164727004,148.10691515625,0.003562047379091382,1695.9355845451355,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,2,1.0,0.13159871475903637,128.0682615625,0.022462928667664528,2458.2681636810303,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,2,1.0,0.16738827182103996,148.9700746875,0.003492385381832719,1693.8960189819336,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,3,1.0,0.13770220093025864,130.58017796875,0.025876618921756744,2454.9370124340057,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,3,1.0,0.1758417433083687,147.4100509375,0.003136817831546068,1691.1544361114502,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,4,1.0,0.12815824278972024,125.82193703125,0.023297008126974106,2453.7554783821106,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,4,1.0,0.16192635718118384,147.938135,0.003658486297354102,1694.811222076416,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,5,1.0,0.127611003888989,127.13797171875,0.02174128219485283,2419.0187962055206,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,5,1.0,0.16165445730518554,147.2475484375,0.003364234697073698,1348.0631375312805,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,6,1.0,0.1354954102935421,128.5850528125,0.023534372448921204,1978.7108006477356,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,6,1.0,0.1654997825737474,148.138281875,0.0037799335550516844,1350.6124339103699,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,7,1.0,0.122013774690835,125.4069359375,0.022005215287208557,1980.694941997528,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,7,1.0,0.16850029301486671,143.1197946875,0.0033515249378979206,1349.843761920929,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,8,1.0,0.12011570441717098,123.5074459375,0.02233314886689186,1979.2246646881104,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,8,1.0,0.17615214994417228,150.480116875,0.00411762623116374,1349.0624043941498,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,stability,16,9,1.0,0.13103783026875412,126.48783015625,0.02354065328836441,1978.9345400333405,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
exp_stability_grid_vs_uniform,uniform,16,9,1.0,0.16358881927660304,147.29724125,0.0035578827373683453,1349.841814994812,5.0,1.0,5.0,64,20,1.0,100000,6250,1024,0.0002,100,100,0,10001,40.99732208251953,0,3796667410
